"resource_name","task_family","anatomy_or_domain","task_or_scenario","base_signal_type","source_url","source_type","dataset_url","evidence_url","status"
"AUITD","recognition_classification","Thyroid","Thyroid lesion classification","labels/classes","https://www.kaggle.com/datasets/azouzmaroua/algeria-ultrasound-images-thyroid-dataset-auitd","paper_or_evidence","https://www.kaggle.com/datasets/azouzmaroua/algeria-ultrasound-images-thyroid-dataset-auitd","https://www.kaggle.com/datasets/azouzmaroua/algeria-ultrasound-images-thyroid-dataset-auitd","verified_or_from_u2bench_source"
"Auto-PCOS classification","recognition_classification;quality_acquisition","Ovary","Polycystic ovary syndrome classification; diagnostic view identification","labels/classes; quality/acquisition cues","https://arxiv.org/abs/2501.01984","paper_or_evidence","","https://arxiv.org/abs/2501.01984","evidence_source_only"
"BrEaST","segmentation_localization","Breast","Breast lesion localisation","masks/boxes/landmarks","https://doi.org/10.1038/s41597-024-02984-z","paper_or_evidence","https://doi.org/10.1038/s41597-024-02984-z","https://doi.org/10.1038/s41597-024-02984-z","verified_or_from_u2bench_source"
"Breast Ultrasound CoT Reasoning Dataset","report_vqa_reasoning","Breast ultrasound","Reasoning-based VLM training/evaluation; report-style explanation","reports/QA/reasoning text","https://www.nature.com/articles/s41597-026-06702-9","paper_or_evidence","https://doi.org/10.6084/m9.figshare.30838715","https://www.nature.com/articles/s41597-026-06702-9","evidence_source_only"
"BUS-UCLM","segmentation_localization","Breast ultrasound","Breast lesion segmentation; COCO conversion practice; model comparison","masks/boxes/landmarks","https://doi.org/10.1038/s41597-025-04562-3","paper_or_evidence","https://github.com/noeliavallez/BUS-UCLM-Dataset","https://doi.org/10.1038/s41597-025-04562-3","verified_or_curated"
"Carotid Artery Ultrasound and Color Doppler","recognition_classification;quality_acquisition","External carotid; left carotid; right carotid","Carotid diagnostic view identification","labels/classes; quality/acquisition cues","https://www.kaggle.com/datasets/pahunichoudhary/carotid-artery-ultrasound-and-color-doppler","paper_or_evidence","https://www.kaggle.com/datasets/pahunichoudhary/carotid-artery-ultrasound-and-color-doppler","https://www.kaggle.com/datasets/pahunichoudhary/carotid-artery-ultrasound-and-color-doppler","verified_or_from_u2bench_source"
"EchoNet-Pediatric","measurement_quantification","Cardiac ultrasound","Pediatric cardiac function assessment; domain shift analysis","measurements/scores","https://echonet.github.io/pediatric/","paper_or_evidence","https://echonet.github.io/pediatric/","https://echonet.github.io/pediatric/","verified_or_curated"
"FETAL-GAUGE","report_vqa_reasoning","Fetal ultrasound VLM benchmark","Fetal ultrasound VLM evaluation; assistant benchmarking","reports/QA/reasoning text","https://arxiv.org/abs/2512.22278","paper_only_not_public","","https://arxiv.org/abs/2512.22278","paper_only_not_public"
"JNU-IFM","recognition_classification;quality_acquisition;segmentation_localization","Fetal head; pubic symphysis","Fetal view identification; fetal head detection; pubic symphysis detection","labels/classes; quality/acquisition cues; masks/boxes/landmarks","https://doi.org/10.1016/j.dib.2022.107904","paper_or_evidence","https://www.sciencedirect.com/science/article/pii/S2352340922001160","https://doi.org/10.1016/j.dib.2022.107904","verified_or_from_u2bench_source"
"OASBUD","recognition_classification;measurement_quantification","Breast ultrasound","Lesion classification; quantitative ultrasound feature extraction; boundary analysis","labels/classes; measurements/scores","https://doi.org/10.1002/mp.12538","paper_or_evidence","https://zenodo.org/record/545928","https://doi.org/10.1002/mp.12538","verified_or_curated"
"PICMUS","reconstruction_registration","Ultrasound imaging research","Beamforming/reconstruction benchmarking; image quality analysis","raw/reconstruction/registration targets","https://ieeexplore.ieee.org/document/7728908","paper_or_evidence","https://www.creatis.insa-lyon.fr/Challenge/IEEE_IUS_2016/","https://ieeexplore.ieee.org/document/7728908","verified_or_curated"
"PRS-Med","segmentation_localization;report_vqa_reasoning","Medical ultrasound-adjacent","Position-guided segmentation; spatial reasoning baseline","masks/boxes/landmarks; reports/QA/reasoning text","https://arxiv.org/abs/2505.11872","paper_or_evidence","https://arxiv.org/abs/2505.11872","https://arxiv.org/abs/2505.11872","evidence_source_only"
"PSFHS","segmentation_localization","Fetal head; pubic symphysis","Fetal head detection; pubic symphysis detection","masks/boxes/landmarks","https://doi.org/10.5281/zenodo.10969427","paper_or_evidence","https://doi.org/10.5281/zenodo.10969427","https://doi.org/10.5281/zenodo.10969427","verified_or_from_u2bench_source"
"ReMUD / HAIBU-ReMUD","report_vqa_reasoning","Ultrasound VLM benchmark","Ultrasound instruction tuning; reasoning evaluation","reports/QA/reasoning text","https://arxiv.org/abs/2506.07837","paper_or_evidence","https://github.com/ShiDaizi/ReMUD","https://arxiv.org/abs/2506.07837","verified_public_source"
"TN3K","segmentation_localization","Thyroid ultrasound","Thyroid nodule segmentation; interactive correction baseline","masks/boxes/landmarks","https://doi.org/10.1016/j.compbiomed.2022.106389","paper_or_evidence","https://github.com/haifangong/TRFE-Net-for-thyroid-nodule-segmentation","https://doi.org/10.1016/j.compbiomed.2022.106389","verified_or_curated"
"TN-SCUI2020","recognition_classification;segmentation_localization","Thyroid ultrasound","Segmentation and classification benchmarking","labels/classes; masks/boxes/landmarks","https://tn-scui2020.grand-challenge.org/","paper_or_evidence","https://tn-scui2020.grand-challenge.org/","https://tn-scui2020.grand-challenge.org/","evidence_source_only"
"Ultrasound Breast Images for Breast Cancer","recognition_classification","Breast","Breast cancer classification","labels/classes","https://www.kaggle.com/datasets/aryashah2k/ultrasound-breast-images-for-breast-cancer","paper_or_evidence","https://www.kaggle.com/datasets/aryashah2k/ultrasound-breast-images-for-breast-cancer","https://www.kaggle.com/datasets/aryashah2k/ultrasound-breast-images-for-breast-cancer","verified_or_from_u2bench_source"
"US simulation and segmentation","segmentation_localization","Abdominal","Abdominal organ detection","masks/boxes/landmarks","https://doi.org/10.1007/s11548-019-02046-5","paper_or_evidence","","https://doi.org/10.1007/s11548-019-02046-5","evidence_source_only"
"MCE Dataset with Multiple Annotators","segmentation_localization","Heart; myocardium","Myocardial contrast echocardiography segmentation with multiple acceptable annotations","masks/boxes/landmarks","https://arxiv.org/abs/2106.15597","paper_or_evidence","https://github.com/dewenzeng/MCE_dataset","https://arxiv.org/abs/2106.15597","verified_from_public_source"
"SonoRate","segmentation_localization","Fetal","Clinician-centered annotation and blinded ranking pipeline for ultrasound AI segmentation outputs","masks/boxes/landmarks","https://arxiv.org/abs/2606.19174","paper_or_evidence","https://github.com/13204942/SonoRate","https://arxiv.org/abs/2606.19174","verified_from_public_source"
"OpenBiomedVid / MIMICEchoQA","report_vqa_reasoning","Echocardiography; biomedical video","Biomedical video instruction tuning and expert-curated echocardiography QA","reports/QA/reasoning text","https://arxiv.org/abs/2504.14391","paper_or_evidence","https://arxiv.org/abs/2504.14391","https://arxiv.org/abs/2504.14391","verified_from_public_source"
"K2MUSE","quality_acquisition;measurement_quantification","Lower limb; muscle","Lower-limb locomotion with time-synchronized A-mode ultrasound sEMG kinematics and kinetics","quality/acquisition cues; measurements/scores","https://arxiv.org/abs/2504.14602","paper_or_evidence","https://www.kaggle.com/datasets/98d67c253a7c820668aed0690cae20343481b8f8f8e0dafbe93b0c76d91f0ce6","https://arxiv.org/abs/2504.14602","verified_from_public_source"
"U2-BENCH","report_vqa_reasoning;recognition_classification","General ultrasound","Large vision-language model benchmark across ultrasound anatomy and task types","reports/QA/reasoning text; labels/classes","https://arxiv.org/abs/2505.17779","paper_or_evidence","https://huggingface.co/datasets/DolphinAI/u2-bench","https://arxiv.org/abs/2505.17779","verified_from_public_source"
